Company,Symbol,JSE code,Sector,Sector inclusion,No code,Drama,Manual,Included
Northam Platinum Limited,NHM,JSE:NHM,Mining,No,No,,,
Novus Holdings Limited,NVS,JSE:NVS,Support Services,Yes,Yes,,,
Nu-World Holdings Limited,NWL,JSE:NWL,Household Goods & Home Construction,Yes,Yes,,,
Nutritional Holdings Limited,NUT,JSE:NUT,Food Producers,Yes,Yes,,,
NVest Financial Holdings Limited,NVE,JSE:NVE,Financial Services,Yes,Yes,,,
Oakbay Resources And Energy Limited,ORL,JSE:ORL,Mining,No,No,No,,
Oando Plc,OAO,JSE:OAO,Oil & Gas Producers,No,No,,,
Oasis Crescent Property Fund,OAS,JSE:OAS,Financial Services,Yes,No,,,
Oceana Group Limited,OCE,JSE:OCE,Food Producers,Yes,Yes,,,
Octodec Investments Limited,OCT,JSE:OCT,Real Estate Investment Trusts,Yes,Yes,,,
Old Mutual Plc,OML,JSE:OML,Insurance,Yes,Yes,,,
Omnia Holdings Limited,OMN,JSE:OMN,Chemicals,Yes,Yes,,,
Onelogix Group Limited,OLG,JSE:OLG,Industrial Transportation,Yes,Yes,,,
Orion Minerals NL,ORN,JSE:ORN,Mining,No,No,,,
Orion Real Estate Limited,ORE,JSE:ORE,Real Estate Investment Trusts,Yes,Yes,,,
Pallinghurst Resources Limited,PGL,JSE:PGL,Financial Services,Yes,Yes,,,
Pan African Resources Plc,PAN,JSE:PAN,Industrial Metals & Mining,No,No,,,
Pembury Lifestyle Group Limited,PEM,JSE:PEM,Real Estate Investment & Services,Yes,Yes,,,
Peregrine Holdings Limited,PGR,JSE:PGR,Financial Services,Yes,Yes,,,
Petmin Limited,PET,JSE:PET,Industrial Metals & Mining,No,No,,,
Phumelela Gaming & Leisure Limited,PHM,JSE:PHM,Travel & Leisure,Yes,Yes,,,
Pick N Pay Holdings Limited,PWK,JSE:PWK,Food & Drug Retailers,Yes,Yes,,,
Pick N Pay Stores Limited,PIK,JSE:PIK,Food & Drug Retailers,Yes,Yes,,,
Pinnacle Holdings Ltd,PNC,JSE:PNC,Technology Hardware & Equipment,Yes,No,,,
Pioneer Food Group Limited,PFG,JSE:PFG,Food Producers,Yes,Yes,,,
Platfields Limited,PLL,JSE:PLL,Mining,No,No,,,
PPC Limited,PPC,JSE:PPC,Construction & Materials,Yes,Yes,,,
Premier Food and Fishing Limited,PFF,JSE:PFF,Food Producers,Yes,No,,,
Prescient Limited,PCT,JSE:PCT,Financial Services,Yes,No,,,
Primeserv Group Limited,PMV,JSE:PMV,Support Services,Yes,Yes,,,
Protech Khuthele Holdings Limited,PKH,JSE:PKH,Construction & Materials,Yes,Yes,,,
PSG Group Limited,PSG,JSE:PSG,Financial Services,Yes,Yes,,,
PSG Konsult Limited,KST,JSE:KST,Financial Services,Yes,Yes,,,
PSV Holdings Limited,PSV,JSE:PSV,Industrial Engineering,Yes,Yes,,,
Purple Group Limited,PPE,JSE:PPE,Financial Services,Yes,Yes,,,
Putprop Limited,PPR,JSE:PPR,Real Estate Investment & Services,Yes,Yes,,,
Quantum Food Holdings Limited,QFH,JSE:QFH,Food Producers,Yes,Yes,,,
Quantum Property Group Limited,QPG,JSE:QPG,Real Estate Investment & Services,Yes,Yes,,,
