Date,Price,Open,High,Low,Vol,percent
"Jun 12, 2015",51828.76,51865.84,52238.7,51828.76,169.97M,-0.10%
"Jun 11, 2015",51881.45,51938.43,52281.71,51881.45,230.68M,-0.15%
"Jun 10, 2015",51958.27,51182.44,51958.27,51141.12,193.94M,1.72%
"Jun 09, 2015",51080.26,51484.78,51546.7,51018.56,196.46M,-1.05%
"Jun 08, 2015",51623.3,51543.94,51747.38,51365.17,170.63M,-0.14%
"Jun 05, 2015",51694.25,51148.44,51756.56,51126.28,177.84M,0.72%
"Jun 04, 2015",51323.68,51518.24,51609.63,51323.68,202.80M,-1.02%
"Jun 03, 2015",51850.67,52042.21,52069.75,51558.51,224.56M,-0.64%
"Jun 02, 2015",52185.61,51935.03,52185.61,51334.39,233.37M,0.21%
"Jun 01, 2015",52073.88,52335.25,52547.3,51990.18,198.95M,-0.38%
"May 29, 2015",52270.86,52829.6,52836.84,52270.86,405.96M,-1.02%
"May 28, 2015",52810.36,52638.1,53127.38,52484.59,263.30M,-0.23%
"May 27, 2015",52933.34,52861.51,52933.34,52413.65,252.83M,-0.06%
"May 26, 2015",52963.39,54100.2,54172.79,52963.39,211.81M,-1.89%
"May 25, 2015",53985.66,54148.62,54216.68,53896.32,88.26M,-0.13%
"May 22, 2015",54055.38,54136.12,54294.48,54031.54,172.10M,-0.13%
"May 21, 2015",54123.89,54106.73,54260.98,53918.66,188.13M,-0.13%
"May 20, 2015",54192.07,54199.4,54334.38,53970.06,188.83M,-0.25%
"May 19, 2015",54327.13,54549.87,54549.87,54169.14,223.56M,-0.15%
"May 18, 2015",54409.43,54256.09,54409.43,54059.43,217.60M,0.71%
"May 15, 2015",54028.17,54238.3,54383.21,54028.17,188.81M,0.29%
"May 14, 2015",53874.59,54109.31,54109.31,53874.59,198.45M,-0.33%
"May 13, 2015",54053.92,54136.05,54271.08,54053.92,249.10M,0.22%
"May 12, 2015",53934.41,54164.52,54231.43,53795.65,186.59M,-0.42%
"May 11, 2015",54161.05,54151.32,54235.23,53977.66,161.51M,0.69%
"May 08, 2015",53790.57,53907.52,53935.77,53657.11,174.39M,1.04%
"May 07, 2015",53238.17,53651.44,53651.44,53001.44,248.96M,-1.13%
"May 06, 2015",53848.74,54224.45,54380.82,53740.6,241.98M,-1.33%
"May 05, 2015",54574.99,54528.34,54789.53,54499.79,183.85M,-0.12%
"May 04, 2015",54639.86,54899.7,55113.76,54455.32,169.37M,0.37%
"Apr 30, 2015",54440.43,54500.26,54816.67,54314.52,211.48M,-0.19%
"Apr 29, 2015",54541.74,55071.9,55156.46,54425.92,247.39M,-0.90%
"Apr 28, 2015",55039.29,55252.01,55252.01,54855.35,965.48M,-0.27%
"Apr 24, 2015",55188.34,54962.46,55355.12,54928.03,207.54M,0.92%
"Apr 23, 2015",54686.54,54467.94,54686.54,54327.05,174.73M,0.75%
"Apr 22, 2015",54281.56,54143.85,54362.44,53914.95,170.13M,0.26%
"Apr 21, 2015",54140.93,54096.82,54243.19,53902.43,172.75M,0.56%
"Apr 20, 2015",53839.71,53691.57,53980.02,53611.32,142.36M,0.20%
"Apr 17, 2015",53734.04,54147.98,54195.4,53510.41,268.11M,-0.97%
"Apr 16, 2015",54262.27,53904.53,54262.27,53903.4,192.83M,1.01%
"Apr 15, 2015",53720.57,53367.13,53720.57,53343.6,191.23M,0.77%
"Apr 14, 2015",53311.46,53403.98,53656.23,53168.98,183.87M,-0.52%
"Apr 13, 2015",53589.31,53563.12,53750.37,53528.26,181.62M,0.32%
"Apr 10, 2015",53420.78,53133.54,53420.78,53087.4,156.36M,0.82%
"Apr 09, 2015",52984.55,52943.03,53078.68,52765.66,175.15M,0.34%
"Apr 08, 2015",52806,52729.81,52953.8,52595.3,181.16M,0.40%
"Apr 07, 2015",52595.69,52667.65,52727.11,52571.34,173.16M,0.70%
"Apr 02, 2015",52229.32,52299.54,52446.12,52148.89,200.10M,-0.10%
"Apr 01, 2015",52281.14,52023.78,52281.14,51921.3,218.61M,0.19%
"Mar 31, 2015",52181.95,52519.84,52619.16,52103.02,246.41M,-0.52%
"Mar 30, 2015",52455.36,52095.94,52534.09,52095.94,241.62M,1.25%
"Mar 27, 2015",51810.16,51700.15,51821.12,51456.24,186.67M,0.40%
"Mar 26, 2015",51603.93,51996.32,52195.29,51422.2,201.44M,-1.36%
"Mar 25, 2015",52313.02,52663.86,52727.44,52145.08,229.90M,-1.03%
"Mar 24, 2015",52858.12,52492.81,53005.78,52398.7,193.13M,0.57%
"Mar 23, 2015",52559.35,52870.88,52886.96,52481.36,186.67M,-0.14%
"Mar 20, 2015",52631.78,52803.17,52803.17,52465.81,471.29M,-0.21%
"Mar 19, 2015",52741.02,52862.38,53301.9,52741.02,355.18M,1.06%
"Mar 18, 2015",52187.48,52334.69,52482.87,52087.85,191.17M,-0.22%
"Mar 17, 2015",52300.24,52306.07,52561.52,52101.79,214.41M,0.31%
"Mar 16, 2015",52139.15,51855.68,52156.41,51721.58,180.34M,0.66%
"Mar 13, 2015",51798.74,52194.06,52404.12,51706.73,288.59M,-0.84%
"Mar 12, 2015",52240.06,51967.49,52356.04,51967.49,244.36M,0.94%
"Mar 11, 2015",51753.07,52043.99,52214.86,51649.27,318.86M,-0.64%
"Mar 10, 2015",52088.54,52605.99,52626.61,51919.42,-,-1.00%
"Mar 09, 2015",52614.08,52887.39,53027.63,52610.9,201.54M,-1.37%
"Mar 06, 2015",53346.99,53246.14,53432.76,53042.35,253.89M,0.12%
"Mar 05, 2015",53285.6,52818.11,53374.08,52818.11,306.67M,0.75%
"Mar 04, 2015",52891.3,53032.36,53218.78,52833.5,215.29M,-0.45%
"Mar 03, 2015",53130.34,53055.69,53198.77,52871.3,231.51M,0.34%
"Mar 02, 2015",52952.91,53531.95,53575.23,52834.82,206.37M,-0.73%
"Feb 27, 2015",53344.2,53337.63,53381.21,53092.3,226.92M,0.02%
"Feb 26, 2015",53331.16,53330.51,53373.11,53002.66,169.17M,0.21%
"Feb 25, 2015",53217.75,53539.22,53615.42,53145.4,201.60M,-0.29%
"Feb 24, 2015",53374.88,53450.86,53536.45,53314.21,177.33M,0.07%
"Feb 23, 2015",53336.46,53249.72,53385.7,53075.94,165.57M,0.57%
"Feb 20, 2015",53035.26,52825.04,53077.73,52734.31,153.41M,0.38%
"Feb 19, 2015",52835.55,52571.04,52870.76,52315.77,177.96M,0.57%
"Feb 18, 2015",52536.24,53130.12,53188.44,52430.3,221.57M,-0.56%
"Feb 17, 2015",52833.48,52945,53156.17,52686.25,229.00M,-0.31%
"Feb 16, 2015",52995.89,52964.94,53097.23,52803.9,134.05M,0.05%
"Feb 13, 2015",52967.63,52761.9,52984.63,52699.09,191.49M,0.88%
"Feb 12, 2015",52507.93,52010.03,52507.93,51990.67,206.12M,0.84%
"Feb 11, 2015",52069.3,52139.8,52274.26,52027.6,179.66M,-0.08%
"Feb 10, 2015",52109.54,52209.01,52342.3,51928.18,218.53M,0.01%
"Feb 09, 2015",52105.38,51817.86,52105.38,51707.04,161.26M,0.21%
"Feb 06, 2015",51998.32,51852.44,52035.84,51621.31,174.86M,0.60%
"Feb 05, 2015",51688.7,51606.91,51702.14,51323.92,190.19M,0.11%
"Feb 04, 2015",51630.82,52064.03,52154.75,51565.41,251.38M,-0.61%
"Feb 03, 2015",51949.33,51720.16,52139.1,51493.76,203.96M,1.08%
"Feb 02, 2015",51394.55,51324.01,51497.77,51086.23,156.63M,0.25%
"Jan 30, 2015",51266.81,51022.68,51353.37,50970.88,243.46M,0.63%
"Jan 29, 2015",50945.56,50954.95,51287.64,50900.43,193.09M,-0.50%
"Jan 28, 2015",51200.57,50958.42,51339.86,50904.17,182.55M,0.97%
"Jan 27, 2015",50711.09,50509.29,50979.73,50451.83,218.96M,0.74%
"Jan 26, 2015",50337.98,49694.02,50366.3,49649.76,170.28M,1.05%
"Jan 23, 2015",49816.57,50214.96,50302.17,49727.29,177.92M,-0.11%
"Jan 22, 2015",49872.69,49982.01,50343.09,49822.26,226.18M,0.57%
"Jan 21, 2015",49588.79,49447.13,49662.48,49286.91,322.53M,0.94%
"Jan 20, 2015",49124.77,49079.55,49299.31,49010.92,179.92M,0.26%
"Jan 19, 2015",48996.94,48632.48,49025.44,48546.66,155.82M,1.11%
"Jan 16, 2015",48458.25,48299.27,48530.28,48155.14,184.38M,-0.14%
"Jan 15, 2015",48524.25,48506.08,48879.12,47960.31,221.28M,0.97%
"Jan 14, 2015",48057.46,48631.74,48827.28,47855.72,206.30M,-2.78%
"Jan 13, 2015",49433,48622.35,49522.72,48591.8,179.83M,1.99%
"Jan 12, 2015",48468.39,48910.14,49281.67,48468.39,159.38M,-0.98%
"Jan 09, 2015",48950.5,49695.89,49695.89,48950.5,153.64M,-1.30%
"Jan 08, 2015",49595.44,49230.74,49595.44,48918.98,129.90M,1.30%
"Jan 07, 2015",48961.06,48392.27,49032.25,48260.96,116.61M,0.75%
"Jan 06, 2015",48598.19,48197.56,48598.19,47964.95,134.10M,1.60%
"Jan 05, 2015",47831.04,49546.65,49681.82,47831.04,127.15M,-3.41%
"Jan 02, 2015",49518.48,49764,50140.82,49513.27,47.18M,-0.51%
"Dec 31, 2014",49770.6,49876.29,49876.29,49757.51,37.82M,0.03%
"Dec 30, 2014",49755.61,50100.26,50100.26,49735.4,65.97M,-0.99%
"Dec 29, 2014",50254.08,49668.4,50254.08,49656.58,62.85M,1.57%
"Dec 24, 2014",49478.57,49529.27,49621.22,49459.64,22.60M,-0.18%
"Dec 23, 2014",49568,49289.26,49650.19,49080.68,88.85M,0.46%
"Dec 22, 2014",49339.32,49514.8,49834.11,49238.85,117.95M,-0.10%
"Dec 19, 2014",49386.71,49634.54,49797.22,49210.2,264.63M,0.20%
"Dec 18, 2014",49290.56,47859.8,49290.56,47859.8,525.77M,4.25%
"Dec 17, 2014",47282.48,46926.18,47456.83,46898.6,287.11M,-0.24%
"Dec 15, 2014",47397.44,47522.65,47887.89,47266.81,167.91M,-1.34%
"Dec 12, 2014",48043.19,48005.08,48115.5,47732.53,218.37M,-0.14%
"Dec 11, 2014",48110.52,48311.98,48701.04,48110.52,228.11M,-1.30%
"Dec 10, 2014",48745.43,48772.23,48925.43,48647.8,233.94M,0.39%
"Dec 09, 2014",48556.55,48821.6,49270.41,48507.35,228.05M,-2.08%
"Dec 08, 2014",49590.2,49474.59,49592.46,49046.22,184.51M,0.17%
"Dec 05, 2014",49506.59,49440.58,49632.94,49357,237.18M,0.23%
"Dec 04, 2014",49392.59,50004.99,50122.31,49283.07,210.49M,-0.93%
"Dec 03, 2014",49857.18,49494.78,49880.31,49272.46,191.27M,0.54%
"Dec 02, 2014",49591.43,49338.34,49593.62,48992.04,199.99M,1.50%
"Dec 01, 2014",48858.76,49188.87,49328.46,48068.13,259.21M,-2.11%
"Nov 28, 2014",49911.37,50146.79,50365.55,49903.26,198.16M,-1.28%
"Nov 27, 2014",50557.83,50330.04,50669.54,50231.43,166.82M,0.40%
"Nov 26, 2014",50355.78,50580.56,50580.56,50217.35,200.79M,-0.30%
